month,revenue,expenses,operationalExpenses,nonOperationalExpenses,profit,growthRate
january,125989.64,94231.73,70340.03,23891.70,31757.91,0.0
february,135832.77,101677.84,77006.69,24671.15,34154.93,7.6
march,146481.27,114664.03,88797.42,25866.61,31817.24,-6.8
april,158229.38,122336.52,97401.91,24934.61,35892.86,12.8
may,167401.79,131160.61,104296.37,26864.24,36241.18,1.0
june,178274.03,142311.61,117386.96,24924.65,35962.42,-0.8
july,189349.98,155431.81,129258.09,26173.72,33918.17,-5.7
august,176647.29,143213.71,113127.82,30085.89,33433.58,-1.4
september,194344.07,167405.92,140443.55,26962.37,26938.15,-19.4
october,211160.22,172990.58,143594.35,29396.23,38169.64,41.7
november,226655.03,187140.80,160284.48,26856.32,39514.23,3.5
december,197757.75,165266.97,139160.18,26106.79,32490.78,-17.8
